n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,2.22276e+06,32453.7,2.11725e+06,2.20834e+06,2.22268e+06,2.23368e+06,2.31494e+06
2,2.32665e+06,33488.2,2.26299e+06,2.30644e+06,2.32643e+06,2.34152e+06,2.44318e+06
3,2.32535e+06,16316.4,2.2854e+06,2.31841e+06,2.32442e+06,2.33263e+06,2.3726e+06
4,2.32981e+06,12450.9,2.30074e+06,2.32166e+06,2.32701e+06,2.33455e+06,2.37199e+06
5,2.36434e+06,25716.2,2.3139e+06,2.34517e+06,2.3619e+06,2.38105e+06,2.4204e+06
6,2.36063e+06,25278.4,2.29044e+06,2.34865e+06,2.36263e+06,2.37668e+06,2.42052e+06
7,2.35734e+06,27032.2,2.30383e+06,2.33669e+06,2.35692e+06,2.37628e+06,2.41455e+06
8,2.35005e+06,40047.5,2.29201e+06,2.32185e+06,2.34376e+06,2.3698e+06,2.53791e+06
9,2.39289e+06,68749.2,2.29795e+06,2.33899e+06,2.36252e+06,2.46445e+06,2.54982e+06
10,2.54888e+06,383580,2.19982e+06,2.28609e+06,2.36976e+06,2.51856e+06,3.46901e+06
